id,topic,question,solution
1,toán học,"Cho hàm số y = x^3 - 3x + 1. Tìm các khoảng đồng biến, nghịch biến.","Lấy đạo hàm y' = 3x^2 - 3. Giải y' = 0 được x = ±1. Hàm đồng biến trên (-∞, -1) ∪ (1, ∞), nghịch biến trên (-1, 1)."
2,toán học,Giải phương trình: log_2(x^2 - 5x + 6) = 1.,Giải x^2 - 5x + 6 = 2 → x^2 - 5x + 4 = 0 → x = 1 hoặc x = 4. Kết luận: x = 4 vì x = 1 không thuộc tập xác định.
3,toán học,Tính đạo hàm của hàm số y = (x^2 + 1)/(x - 1).,Áp dụng quy tắc thương: y' = [(2x)(x - 1) - (x^2 + 1)] / (x - 1)^2 = (x^2 - 2x - 1)/(x - 1)^2.
4,toán học,Tính tích phân: ∫(2x^3 - x^2 + 1) dx từ 0 đến 2.,Tính F(x) = 0.5x^4 - (1/3)x^3 + x. F(2) - F(0) = 8 - 8/3 + 2 = 14/3.
5,toán học,"Một hình chóp có đáy là hình vuông cạnh 2a, chiều cao bằng a. Tính thể tích khối chóp.",Diện tích đáy S = (2a)^2 = 4a^2. Thể tích V = 1/3 × S × h = 1/3 × 4a^2 × a = 4a^3/3.
6,toán học,"Trong không gian Oxyz, cho mặt phẳng (P): x + y + z = 3. Tính khoảng cách từ điểm A(1,2,3) đến mặt phẳng (P).",D = |1 + 2 + 3 - 3| / √3 = 3 / √3 = √3.
7,toán học,Tìm giá trị lớn nhất của hàm số f(x) = -x^2 + 4x + 5 trên đoạn [0;5].,"f'(x) = -2x + 4 = 0 → x = 2 ∈ [0;5]. f(0)=5, f(2)=9, f(5)=0. Max = 9 tại x = 2."
8,toán học,Tính giới hạn: lim(x→+∞) [(2x^2 + 3x + 1)/(x^2 - x + 2)].,"Chia cả tử và mẫu cho x^2, giới hạn = 2."
9,toán học,"Một lớp có 20 học sinh, trong đó có 12 học sinh nữ. Chọn ngẫu nhiên 3 học sinh. Tính xác suất để có ít nhất 2 học sinh nữ.","Tổng TH = C(20,3). TH có 2 nữ: C(12,2)×C(8,1), có 3 nữ: C(12,3). Xác suất = (C(12,2)×C(8,1) + C(12,3)) / C(20,3) = (66×8 + 220)/1140 = 748/1140 ≈ 0.656."
10,toán học,Giải bất phương trình: (x - 2)(x + 1)(x - 4) < 0.,"Nghiệm: x ∈ (-1, 2) ∪ (4, ∞). Nhưng dấu âm khi biểu thức có đúng 1 hoặc 3 số âm → tập nghiệm là (-1, 2) ∪ (2, 4)."
11,toán học,"Một hình chóp có đáy là hình vuông cạnh 2a, chiều cao bằng 3a. Tính thể tích khối chóp.",Tính diện tích đáy và áp dụng công thức thể tích V = 1/3 × S × h.
12,toán học,Tính tích phân: ∫(4x^3 - 3x^2 + 3) dx từ 1 đến 4.,"Tính nguyên hàm, sau đó áp dụng định lý Newton–Leibniz."
13,toán học,"Một lớp có 20 học sinh, trong đó có 12 học sinh nữ. Chọn ngẫu nhiên 3 học sinh. Tính xác suất để có ít nhất 2 học sinh nữ.","Dùng tổ hợp để tính số trường hợp thỏa mãn và tổng số trường hợp, sau đó tính xác suất."
40,toán học,Tính giới hạn: lim(x→+∞) [(4x^2 + 2x + 5)/(3x^2 + 3x + 2)].,"Chia cả tử và mẫu cho x^2, rồi lấy giới hạn."
